UUID,date,Latitude,Longitude,Altitude,Velocity,Dist
Orni17499-163,2017-09-19,61.04752965264659,148.1607104140523,506.006993006993,16.91919191919192,860.4295057307393
Orni17499-163,2017-09-20,60.317012828976495,146.9152945605059,265.84722222222223,19.307484567901227,105.8089709392474
Orni17499-163,2017-10-02,53.2138419442705,136.93122336898864,225.6344827586207,17.83141762452108,994.7933767543575
Orni17499-163,2017-10-03,47.59651457803756,134.04385438133954,446.1929824561403,19.714912280701746,657.1417324154216
Orni17499-163,2017-10-04,42.64267859431502,130.66011111236682,36.23931623931624,18.25973409306743,611.3326450909598
Orni17499-163,2017-10-17,41.71429450219602,129.7610996226942,322.0833333333333,17.586805555555568,127.05967648846891
Orni17499-163,2017-10-18,37.6683999853571,126.66096938257166,72.875,16.878858024691358,522.1692127248298
Orni17499-163,2017-10-19,36.663019381354886,126.3806488441568,0.5069444444444444,16.981095679012356,114.51930521804299
Orni17499-163,2017-11-29,34.402458252609556,120.94134821951208,27.75,18.83487654320988,552.5377483679144
Orni17499-163,2018-02-27,37.38666729711212,119.30018304857475,46.09722222222222,18.649691358024697,363.25212400654283
Orni17499-163,2018-03-01,39.22583403805413,119.49332476173903,185.20833333333334,19.006558641975325,205.19905433437333
Orni17499-163,2018-03-02,43.642652891315024,120.26306410654581,524.9027777777778,17.328317901234556,495.2952541966267
Orni17499-163,2018-03-17,44.77314202416522,122.5027784075724,359.13194444444446,18.871527777777786,218.3225657033145
Orni17499-163,2018-03-18,45.83444498249859,124.8151578311836,133.9375,18.908179012345677,215.93223343344195
Orni17499-163,2018-03-21,47.700445774165274,123.42137043535016,186.97222222222223,18.177083333333325,233.05922324662438
Orni17499-163,2018-03-24,48.714819017220826,124.75541437979463,256.7916666666667,18.46643518518517,149.97912007315924
Orni17499-163,2018-03-27,48.609330692774435,126.68874067850285,288.1666666666667,18.026620370370374,142.47122598429377
Orni17499-163,2018-04-04,47.43071381583191,132.1647837061835,81.76388888888889,18.119212962962962,427.7337912945182
Orni17499-163,2018-04-29,49.73843075333193,136.17073983812801,16.78472222222222,17.856867283950617,390.6379834886791
Orni17499-163,2018-05-01,51.894053260276365,139.7632746089613,88.50694444444444,17.14120370370371,347.994381320837
Orni17499-163,2018-05-02,56.3876560772877,144.74739786889637,4.930555555555555,19.292052469135808,595.5311607151025
Orni17499-163,2018-05-03,62.952776635276415,151.35466812285014,446.50694444444446,17.474922839506164,817.9062746274549
Orni17499-163,2018-05-04,64.72167598944303,151.65108463673906,82.08333333333333,16.09567901234569,197.22821656315253
Orni17499-163,2018-05-07,67.57380822424295,158.19788362255875,49.041666666666664,16.946373456790127,432.2797973787488
Orni17499-163,2018-05-13,67.48218846899825,152.93173596521618,32.65277777777778,18.067129629629633,223.98721250467565
Orni17499-163,2018-05-14,66.16043848997722,150.56826923095048,27.72222222222222,17.733410493827154,179.69724286141337
Orni17499-163,2018-05-29,68.24273191999858,151.7878261575723,32.291666666666664,17.486496913580247,237.41654766279737
Orni17499-163,2018-06-05,68.98040914916523,157.7324177895168,30.09027777777778,18.042052469135804,254.51450471986146
Orni17499-163,2018-06-06,68.9841626699986,167.52879049090566,181.58333333333334,16.40239197530864,390.27261574975034
Orni17499-163,2018-06-21,69.52890174638749,164.16357188673902,41.40277777777778,17.910879629629626,145.69479412240665
Orni17499-163,2018-06-24,69.73302175837789,159.67014726163916,32.86805555555556,17.64081790123457,175.34348687844832
Orni17499-163,2018-06-28,69.60328540610975,164.46703214368344,-0.5902777777777778,17.397762345679,185.84204051372873
